tn,en
فَسَّخَهُمْ مِلْ الأَرْضْ,"to wipe off the earth, get rid of"
فَسِّدْ,to mess up
فَسِّدْ,to corrupt someone or something
فْسِدْ,to become corrupt
فْسِدْ,"to decompose, go bad, go rotten"
فَسَّدْلُو خْلِيقْتْلُو,to deform someone's face
فَسِّرْ,to explain
فَسِّرْ الوَضْعِيَّة,to explain the situation
فُسْفَاطْ,phosphates
فُسْقِيَّةْ,barrel for gathering rain water
فَسْكى,to cheat in cards or on a test (look at notes or someone else's cards)
فُسَيْفُسَاءْ,mosaic
فَشْ,to deflate
فَشَّخْ,to hit hard
فَشْفِشْ بِالفْليطُوكِسْ,to spray against mosquitoes
فَشِّلْ,"to exhaust someone, depress, discourage"
فَشَلْ,failure
فْشِلْ,"to get really tired, worn out"
فَشْلَامْ,"someone who shows off, tries to look good in front of people"
فَشْلِمْ,"to show off, try to look good"
فْصَالَةْ,"gangster, tough guy"
فَصِّصْ,to make things up in order to look good and make fun of people
فَصِّصْ,to open up or peel a piece of fruit with seeds inside (such aspomegranate)
فْصَعْ,"to escape, run away, skip out on"
فَصْعَةْ,"escaping, running away, hooky"
فَصِّلْ,"to divide, separate, release"
فْصَلْ,"to expel, kick out"
فَضّْ,"to end, stop, break up"
فَضَاءْ,space
فِضّةْ,silver
فْضَحْ,"to expose, embarrass"
فْضَحْ سِرّْ,to bring a secret to light
فَضْفِضْ,"to express one's feelings, pour out one's heart"
فَضْلْ,"preference, favor, thanks"
فَضْلَة,"garbage, rubbish, trash"
فَضْلَة,leftovers
فَطِّسْ,to smash (especially nose)
فَطَّقْ,"to tear something apart, rip apart, break at the seams"
فْطُنْ,"to know, be aware, figure out"
فْعَايَلْكُمْ,"the things you do are bad, wrong"
فِعْلْ,"verb, action"
فْقَعْ,to poke in the eye
فْقِدْ,"to lose, miss"
فْقِدْ الأَمَلْ,to lose hope
فْقِدْ التَّوَازِنْ,to grow unbalanced
فْقِدْ ذَاكْرَةْ,to lose one's memory
فْقِدْ لْمَعْنَى,to become meaningless
فِقْدَانْ,state of being lost or missing something
فِقْدِتْ غِشَاءْ البِكَارَةْ,she lost her virginity
فَقْر و فَرَعْنَة,very poor person who does evil and shows off
فَقْرَة,paragraph
فَقِّسْ,"to crack, like crack an egg"
فَقَطْ,"only, that’s all"
فَكْ البُقْعَة,to steal someone else's place
فَكّْ لْعُقْدَةْ,to untie a knot
فَكّْ لْعُقْدَةْ,"to discover a secret, figure something out"
فَكِّرْ,to think
فَكِّرْ,to remind
فِكْرَة,"thought, idea"
فِكْرَةْ عَلَى قَاعْدَةْ صْحِيحَةْ,"good thought, idea"
فِكْرَةْ فِي بْلَاصِتْهَا,"sensible, good, appropriate idea"
فِكْرُو رْزِينْ,"he's slow of mind, not quick on his feet"
فِكْرُو رْزِينْ,he thinks deeply before doing anything
فِكْرِيَّةْ,"Intellectual, cerebral"
فَكْسَى,"to fix something down, stabilize"
فَكْسَى,to send a fax
فَكْسْيُونْ,"fixing something down, stabilizing"
فْلَاحَة,agriculture
فْلَاحَة,pornographic films
فِلَاحِيَةْ,agricultural
فْلَاشْ,arrow
فْلَاشْ,quick spot on TV
فَلَّاڨِي,"in simple Arabic, in the simplest way I can say it, the point is…"
فْلَامْ,"flame shooter, fireworks"
فْلَامْ,flame
فْلَامْ,torch
فْلَامُونْ,Flemish
فُلَانْ,someone
فُلَانْ زَبّالْ,"dirty person, evil and perverted"
فْلَانْ و فَلْتَان,certain unnamed or theoretical people
فَلَّةْ,"a break or crack in something, opening"
فَلّت,"forget about it, don't listen to him"
فَلّت,to miss something
فْلِتْ,"to slip by, slip out"
فِلْتَانْ,"unidentified, theoretical person"
فْلِحْ,to succeed
فِلِقْ,"to explode, break open, pop"
فَلْقَة,"popping, popping sound, whacking"
فَلَكِي,astronomical
فَلِّمْ,"to act like you're important, lie, show off"
فْلُو,"fuzzy, unclear"
فْلُورِي,"with a flower pattern, pink"
فْلَى,"to search, look for carefully"
فَمَّا,"there is, there are"
فَمَّا إِمْكَانِيَّةْ,there is a possibility
فَمَّا حَاجَاتْ فْلُو,there are some unclear things
فَمَّا شُبْهَةْ,something is suspected
فَمَّا شُكَونْ عَاطِيهْ كِلْمَةْ,someone gave him his word
فَمَّا فَرَاغْ بِينَاتْهُمْ,"they're distant, they don’t talk to eachother"
فَمَّا مِنُّو بَرْشَا,there is a lot of it
فَمَّا نُقْطَةْ مَهِيشْ وَاضْحَةْ,there is an unclear point
فَمَّاشِي,is there...?
فِمِنِيزِمْ,feminism
فَمُّو مَا يُسْكِتِّشْ,he doesn't stop talking
فَنِّدْ,"to reject an idea, doubt someone's thoughts"
فُنْدِقْ ِلمْدِينَةْ,hotel in the old medina
فَنْفِنْ,"to hum, make sound of an engine"
فَنْفِنْ,"to work actively, hard"
فَنِّي,technical or artistic
فِنْيَانْ,a passive person who does not have energy to do anything
فَهْرَسْ,"index, table of contents"
فَهِّمْ,to explain
فَهْمْ,understanding
فْهِمْ,to understand
فْهِمْ الدِّنْيَا,"to understand life, be wise and experienced"
فْهِمْ رُوحُو غَالِطْ,"he realized he had made a mistake, was wrong"
فَهِّمْهَا بِلْقْمَعْ,"to explain something to a stupid person by repeating, trying hard"
فُو دَارْتِيفِيسْ,fireworks
فَوَازِيرْ,Fawazeer (old Arab TV show with dancing)
فْوَايَاجْ رْمَلْ,delivery by sand truck
فَوِّتْ,"to miss, not make it"
فُوتِيسْتْ,"somebody who doesn't care, always makes mistakes"
فَوْجْ,group
فُورْزَا,"force, supporting group, fan group for sports team"
فُورِمْةْ لْوِجْهْ,the shape of the face
فُوسْفُورْ,phosphorous
فُوسِي,hole dug out for a foundation
فُوشِيكْ,fireworks
فُوقْ,"up or above, on top of"
فُوقْ مِنْ قَلْبُو,against his will
فَوِّلْ,"to wish good things for, give good to"
فُولَاتِيلْ,volatile
فُولْڨَارْ,"vulgar, simple, uncivilized"
فٌولُومْ,volume
فُونْدَامُونْتَالِيسْتْ,fundamentalist
فُونْكِسْيُونْمُونْ,functioning
فِي إِتِّجَاهْ,in the direction of
فِي آخِرْ بْلَاصَةْ,in the last place
فِي إِرْتِفَاعْ,at the height of
فِي أَكْثِرْ لْحَالَاتْ,In most cases
فِي التِرْكِينَةْ,on the corner
فِي التَّلِفُونْ,on the phone
فِي التُّوبْ,at the top
فِي الثّْنِيَّةْ,on the way
فِي الذِكْرَى مْتَاعُو,on the anniversary of his death
فِي السَّابِعْ,"In the seventh month, seventh week, seventh day"
فِي الشِّيْرَة لِمْقَابْلَةْ,across from
فِي المُسْتَوَى,"at the appropriate level, fitting"
فِي المُسْتَوَى,responsible
فِي أَمَانَ الَلْه,in God's safe hands
فِي انْحِدَارْ,In decline
فِي أَوَجّْ العَطَاءْ,at the peak of performance
فِي أَيْ بْلَاصَةْ,anywhere
فِي أَيَّامَاتُو,"in his days, his glory days"
فِي بَالُو,"in his mind, he thought that…"
فِي بَالُو بْحَاجَةْ,"he knows something, is aware"
فِي بُقْعِتْهَا,in its place
فِي تُنْبِكْهَا,"at the peak, top"
فِي جُرِّتْ بْعَضْهُمْ,one after another
فِي حَافِّةْ,on the edge
فِي حَالَةْ إِسْتَعْدَادْ,"In a state of readiness, at attention"
فِي حَتَّى بَرّْ,nowhere
فِي حَتَّى بْلَاصَةْ,nowhere
فِي حِدَادْ,in mourning
فِي رَمْشِةْ عِينْ,In the blink of an eye
فِي زَاوِيَةْ النَظَرْ مْتَاعُو,in his perspective
فِي سَابَعْ نُومَةْ,in a very deep sleep
فِي طْبَقْ,"on a platter, easily"
فِي طُولْ,the same length or height as
فِي عِزُّو,"at his top, peak"
فِي عَقْلِكْ,"be patient, wait"
فِي عَلَاقَةْ مَعَ رَبِّي,"in a relationship with God, prays"
فِي عُوضْ,instead of
فِي فُمّْ الكَيَّاسْ,in the middle of the street
فِي فُورْمَةْ,in good shape
فِي قَالِبْ ضُحْكَةْ,in a joking manner
فِي قَالِبْ فَدْلْكَةْ,in a joking manner
فِي قَبْضْتُو,"in his hands, holding on to, ruling over, in control of"
فِي لْبَانُو,in the bathtub
فِي لِبْقَايَعْ لْكُلْ,everywere
فِي لِخِّرْ,"in the end, the point is"
فِي لِخِّرْ,finally
فِي لِخْلَى,in a desolate place
فِي لْعَادَةْ,usually
فِي لْكُونْكْلِيزْيُونْ,in conclusion
فِي لْمُقَدْمَةْ,in the beginning
فِي لَنْفِينِي,"infinite, unending"
فِي مَثْوَاْه الأَخِيرْ,In his final resting place
فِي مَحَلُّو,"in his place, shop, house"
فِي مَحَلُّو,"he has the right, he's right"
فِي مُعْظَمْهَا,"generally, most of it"
فِي مُنَافْسَةْ مْعَ,In competition with
فِي نُزُولْ,"in decline, descending"
فِي نْهَارُو,"in his peak form, ready"
فِي وْدِيعِةْ رَبِّي,God be with you and protect you
فِي وِسْطْ,in the middle
فِي وَقْتُو,in its right time
فِي يُومْ مِلْ الأَيَّامْ,"once upon a time, one day"
فَيَّاسْ,"someone who shows off, tries to look good in front of people"
فَيَّاقَةْ,alarm
فِيبْرَانْ,vibration
فِئَةْ,"category, type, denomination, class"
فِئَة إجْتِمَاعِيَّة,social class
فِيتَالْ,"vital, active"
فِيدَالْ,faithful
فِيرَايْ,scrapyard
فِيرْمَا,farm
فِيزِيبِلِيتِي,visibility
فَيِّسْ,"to show off, try to look good"
فِيسَة,screw
فِيسَعْ,"quickly, fast, hurry up"
فِيسَعْ فِيسَعْ,"very quickly, hurry up"
فِيسَعْ مَا يَسْتَوْعِبْ,"he picks things up, understands quickly"
فَيِّشْ,"to be proud, look down on others"
فَيِّشْ شَعْرُو,"to stick up one's hair (like rooster), spike hair"
فِيشَةْ,plug (cable)
فِيشْتَا,day off
فِيشْي,file
فَيَّعْ,to spray out
فيقورون,extra in a film
فِيكْسَى,"fixed, stabilized"
فِيلْتِرْ,filter (coffee or car)
فَيْلِقْ,legion
فِيلْمْ إِرُوتِيكْ,erotic movie
فِيلْمْ بُورْنُو,pornnographic movie
فِيلُوزُوفِيكْ,philosophical
فِيمَا يْخُصّْ,"regarding, related to, as to"
فِيمِينَا,feminine
فِينْ,where
فِينْ فَمَّا,where is there…
فِينِكْ,where are you?
فِينِيتُو,"that's it, all done, finished"
فِيهْ,"it contains, there is… in it"
فِيهْ الرِّيحَةْ,he/it smells
فِيهْ الرِّيحَةْ,he's probably gay
فِيهْ طْبِيعَةْ,"he's like that, he has the tendency to"
فِيهَا كَلْكَارْ,it contains calcium
ڤَيِّنْ,"to be depressing, boring, have a bad attitude"
ڨَابْسِي,someone from Gabes
قَابْلَةْ لِنِقَاشْ,open to discussion
قَاتِلْهَا بِالمَشْيْ,why do you walk so much?
ڨَاجّو,"crate, container"
ڨَاجَى,to have served one's year in the army and to continue in the army
قَادْ,to lead
قَادِرْ,able
قَادِمْ,"coming, next"
ڨَادُومَةْ,small axe for cutting grass
ڨَارَانْتِي,"warranty, guarantee"
ڨَارْدْ,defensive posture
قَارِنْ,to compare
قَارِي حْسَابُو,to have taken things into account
قَارِيتَا,"watch tower, guard tower"
قَارِينْ عَنْدْ نَفْسْ المِدِّبْ,"they think the same way, act the same way"
ڨَازْ,"gas, natural gas"
ڨَازْ دْبَابِزْ,butane gas tanks
ڨَازْ دُو فِيلْ,natural gas from pipelines
ڨَازْ لَكْرِيمُوجَانْ,tear gas
ڨَازَة,oil lamp
ڨَازِيفْيَا,carbonated
قَاسْ,"to measure, try on"
ڨَاسْبِيَاجْ,"wasting, spending recklessly"
قَاسَى,to suffer
قَاسِي,"harsh, rough"
قَاْطع,to interrupt
قَاْطع,to not want to speak with anymore
قَاْطع,to boycott
قَاعْ,bottom (e.g. of bottle)
قَاعَةْ,hall
قَاعَةْ,room
قَاعِدْ,sitting down
قَاعِدْ,doing something currently
قَاعِدْ يِكْبِرْ,he is growing up
قَاعْدَةْ تِشْعِلْ,it's burning
قَاعْدَةْ تِشْعِلْ,tension is growing
قَافِزْ عْلِيهْ,he's caught up to him (positive or negative)
قَافْلَةْ,"caravan, convoy"
قَافْيَة,rhyme
قَالْ الوَقْتْ,to give the time
قَالْ حَاجَة فَارْغَة,"to say something pointless, dumb"
ڨَامْ,"to wake up, get up"
قَامْ بْوَاجْبُو,he did his duty
قَامْ مالفَرْشْ,to get out of bed
قَامْ مالمَوْتْ,he came back to life
قَامْ مِالنُّومْ,to wake up from sleep
قَامُو بْإِحْيَاءْ الذِكْرَى مْتَاعُو,they celebrated the anniversary of his death
قَامُوسْ,dictionary
قَاهْرَةْ,"difficult, harsh, overwhelming, unfair"
ڨَاوْرِي,"foreign person (non-Arab), usually Westerner"
قَاوِقْ,"spectacle, lots of noise for no point"
قَايِدْ,leader
قَايِمْ,standing or awake
قَايِمْ,"to do, take care of"
ڨَبّْ,back of the head (joking)
ڨَبّْ,to drink (slang)
قْبَاحَةْ,"profane, dirty, wrong"
قُبَّةْ,dome
قْبَضْ البُونْيَةْ مْتَاعُو,he clenched his fist
قْبَضْلُو رُوحُو,"to kill, take someone's soul"
ڨَبِّلْ,"to face, look toward (esp for prayers)"
ڨَبِّلْ,kissed
قْبَلْ,before
قَبْلَ المِيلَادْ,B.C.
قْبَلْ لِخْرَانِي,"one before the last, penultimate"
قْبَلْ مَا,before…
قَبِيلَة,"tribe, people group"
ڨَتَّالْ أَرْوَاحْ,murderer
قْتَلْ,to kill
قْتَلْ بِالزِّينْ,extremely beautiful
قَتْلُو مَاصْ فِي الضَوْ,he was killed by an electric shock
ڨِجْمِي,"old dialectical variant, something no one understands"
ڨَحِّفْ,to ask for money or something (done by someone who's alwaysborrowing/using other people's things)
قَاحْلَةْ,"arid, barren, not fertile"
ڨَدْ,"to do, fix, take care of"
ڨَدْ,equal to
ڨَدْ,beauty
ڨَدّْ رُوحُو,he did a good job
قَدْ شْعَرْ الرَّاسْ,countless
ڨدْ فَرْشُو,he made his bed
ڨدْ فَرْشُو,to make one's bed
قَدْ قَدّْ,exactly
قَدْ قَدّْ,"well-behaved, doesn't cause problems"
ڨَدْ لَحْسَابْ,to calculate
قَدَّاشْ,how much
قَدَّاشْ هَاذِي,how much is this?
قَدَّاهْ,how much
قَدَّاهْ تَعْمِلْ القَطْعَةْ هَاذِي,how much does this cost?
قْدَحْ,"to spark, light up"
قَدِّرْ,"to respect, honor"
قْدَرْ,respect
قْدَرْ,destiny
قْدَرْ,respectful distance
قُدْرَة,"ability, capacity"
قَدّمْ,"to step, move forward"
قَدّمْ,to develop
قَدّمْ,"to present, introduce"
قَدِّمْ أدِلَّةْ,"to provide evidence, proof"
قَدِّمْ إِظَافَةْ,to add something
قَدِّمْ بِالسْيَاسَةْ,to move forward slowly
قَدِّمْ تَوْضِيحْ,to clarify
قَدِّمْ شِكَايَةْ,to complain
قَدِّمْ طَلَبْ,to make a request
قَدِّمْ عَرْضْ,to make an offer
قَدِّمْ عَرِيضَةْ,to make a petition
قَدِّمْ قٌرْبَانْ,to make an offering
قَدِّمْ مَطْلِبْ,to make a request
قَدِّمْ وَحْدَا وَحْدَا,to move forward slowly
قُدْوَةْ,"example, model, leader, forerunner"
قْدِيمْ,old
قَذِرْ,"dirty, unethical"
قر,"to acknowledge, admit"
قراتوي,free of charge
قَرَارْ,decision
ڨْرَافْ,"grievous, serious, dangerous"
ڨْرَافِيتِي,"severity, seriousness, danger"
ڨْرَافِيتِي,gravity
ڨْرَافِيكْ,"graphic, image quality"
قْرَالْهَا حْسَابْهَا,he took it into consideration
قْرَالُو حَظُّو,to tell someone his/her fortune
قْرَالُو كَفُّو,to read palms
ڨْرَامْ,gram
ڨْرَانِيتْ,granite
ڨْرَانِيتْ,"a brand of ice cream, slushie"
قَرِّبْ,to bring closer
قْرُبْ,to get closer
ڨَرْبَاجِي,"a garbage rummager, someone who goes through the trash"
ڨُرْبِجْ,"scrap, unused things"
ڨَرْبِطْ,to make a knot
قَرْبِعْ,"to make noise, bang or knock things together"
قَرْجْمُو,"to slaughter, slit the throat"
ڨَرْجُومَةْ,throat
ڨَرِّدْ,"to make fun of someone, mock"
قَرِّدْ رُوحُو,he made a fool of himself
قْرَص,"to pinch, bite (bugs), sting"
قْرَص,a human female who moves too much
ڨرْسَانْ,to be cold (person)
قَرْسَةْ,"sting, bite"
قُرْصْ,"button, switch"
قَرْصْنَةْ,piracy
قَرْضَةْ,the act of cleaning something by scratcing it by your nail
قَرْضَةْ,gossip
قَرْضَةْ,wooden block for butchering
قَرِّطْ,to play a joke on
قَرِّطْ,to close tight
قَرْطِسْ,to wrap up
قُرْعَةْ,"lot, lottery"
تقَرْعِشْ,"to be/act foolishly, without thinking"
قَرْفِصْ إِيدِيهْ,to fold or put hands together
قَرْقِشْ,"to scrape, get something off, especially paint from wall"
ڨَرْڨَعْ,to make lots of noise
ڨَرْمِشْ,to crunch on something
ڨَرْنْ,horn
قَرْنِ,century
ڨْرُوبْ,group
قْرُوسُومُودُو,"generally, in general, roughly"
ڨَرُّومْ,very old man who does strange/funny things
ڨْرُونْ بْرِي,grand prize
قَرْوِي,"villager, or someone from Kairouen"
قْرَى البَاهِي وِ الخَايِبْ,"to know, be aware of the good and the bad in something"
قْرَى الفِنْجَانْ,to read coffee grounds
قرَى بِالشَوَيَّةْ,"to read slowly, in a quiet voice"
قْرَى بِصُوتْ خَافِتْ,he read quietly
قْرَى بْصُوتْ عَالِي,to read in a loud voice
قْرَى بِفَصَاحَةْ,to read fluently
قْرَى حِسَابْ حَاجَةْ,"to prepare for something, be ready"
قْرَى حِساَبْ نَهَارْ آخِرْ,to prepare for the future
قْرَى حِساَبْ نَهَارْ آخِرْ,to prepare for the final judgement
قْرَى حْسَابُو,he prepared himself
ڨْرِي,grey
ڨْرِيَاجْ,grilling
ڨْرِيَاجْ,grill (linked metal)
قْرِيبْ يُوصِلْ,he's almost here
قْرِيبْشِي,is he there yet?
ڨُرِّيسَةْ,something growing with yeast
ڨْرِيفَايْ,gravel
ڨِرِّيمَةْ,evil person
ڨْرَيِّنْ,small horn
ڨْزَازَةْ,piece of glass
ڨَزْدِرْ,to clean rust off bronze
ڨَزَرْنَةْ,military barracks
ڨَزْڨْزْ,"to grind/gnash teeth, to scrape fingernails on something"
قَزِّمْ,"to consider small, unimportant (negative connotation)"
قِسْطْ,"session, portion, amount"
قْسِمْ,"to break, cut, share"
قْسِمْ,"to swear, make oath"
قِسْمْ الوَفِيَّاتْ,"mortuary, office in town hall related to deaths"
قْسِمْ عَ الشَّرَفْ,to swear by one's honor
قْسِمْ عَلَى زُوزْ,"to split, divide into two parts"
قَسْوَة,"cruelty, harshness"
ڨَشِّعْ,"to leave, go away, get out"
قَصْ العَلَاقَة,to end a relationship
قَصْ المَاءْ,to cut off water supply
قَصْ تْرُوفْ تْرُوفْ,to cut into pieces
قَصّْ تْرُونْشَاتْ,to cut into slices
قَصْ طْرَيِّفْ,to cut off a small piece
قَصْ عْلِيهْ,to interrupt
قَصْ عْلِيهْ,to pass by on the road
قَصْ لَحْشِيشْ,"to cut, mow the grass"
قَصَّاصْ شِيخَةْ,"someone who stops a good time (usually involving drinking or drugs), party pooper"
قَصَّانْ,cutting
قِصَّةْ عَرْبِي,shortcut
قْصَدْ,"to mean, intend"
قْصَدْ,to go toward
قْصَدْ بِيهَا,he meant by it…
قَصْدِيرْ,"bronze, tin"
قَصِّرْ,"to shorten, make smaller"
قْصِفْ,"to bombard, raid"
قْصَى,"to kick out, eliminate, expel"
قْصِيرْ,short
قَضَاءْ وْ قَدَرْ,destiny
قْضاَلُو حَاجْتُو,he did something or some work for him
قِطَاعْ,"sector, field"
قُطْبْ,pole
قُطْبِي,polar
قَطِّرْ,to drip
قُطْرَانْ,tar
قَطْرَةْ,drop 
قَطْرَةْ فِي بْحَرْ,a drop in the sea
قَطْرَةْ قَطْرَةْ,"drop by drop, slowly, manner of irrigation"
قُطْرَة لِي تْفَيِّضْ الكَاسْ,the drop that made the cup overflow (the straw that broke the camel's back)
قَطَرِي,from Qatar
ڨَطّعْ,"to escape, run away"
ڨَطّعْ,"to cut, rip"
قْطَعْ,"to break, snap"
ڨَطَّعْ بِيهُمْ,to run away from
قَطَعْ حْوَايْجُو,to tear one's clothes
ڨَطَّعْ سَاقِيهْ أَعْلَى مِنْ رَاسُو,he ran away as fast as he could
قَطَّعْ وْ رَيِّشْ,gossip
قِطْعَةْ,"piece, section, one of something"
قْطَعْهُمْ مِلْ الوُجُودْ,"to cut off, kill, eliminate"
قُطْعِي,evil person who does wrong to others
قَطْفْ,"to grab, take, pick"
قْطُنْ,cotton
قَطُّوسْ بًو سَبْعَةْ أَرْوَاحْ,"cat with seven lives, never dies"
قَطُّوسْ فِي شْكَارَةْ,"cat in a bag, something unknown and unseen"
قَطِيعَةْ,break in a familly relationship
ڨَعْبَاجِي,"someone who laughs at or bothers people because he has nothing to do, busy body"
قَعِّدْ,"to set down, place"
قْعَدْ بِجْنَبْ,to sit next to
قْعَدْ صَبُّورَةْ كَحْلَةْ,"to remain ignorant, understand nothing"
قْعَدْ عَلَى رْكَايْبُو,"to kneel, sit on one's knees"
قْعَدْ قَرْنْ,"to take a century, long time"
قَعْدَةْ,"time together, hanging out"
قَعْدُوه عَالدَّبُّوزَة,"to force to sit on a bottle, referring to torture, especially police torture"
ڨْعَرْ,to hit something and make a hole in it
ڨَعْڨَعْ,to yell loudly
ڨَعْمِزْ,to crouch
قْفَصْ,cage
ڨَفْصِي,from Gafsa
قَفِّفْ,to be a spy or to brown nose
ڨْلَاسْيَارْ,"cooler, water jug"
ڨْلِبْ,"to run away, get out"
قْلِبْ,"to turn over, flip"
قْلِبْ,"to cheat, deceive"
قَلْبِ الأَسَدْ,"lion's heart, brave"
قْلِبْ الفِيسْتَةْ,"to change one's actions negatively, not be the same"
قَلْبْ عَلْ القَلْبْ,"I was just thinking of you, we were thinking the same thing"
قْلِبْهَا سَافِلْهَا عَلَى عَالِيهَا,"to mess things up, toss things on top of each other"
قَلْبُو أَبْيِضْ,he's a good person
قَلْبُو أَكْحِلْ,he's an evil person
قَلْبُو بَاهِي,"he's a good person, has a good heart"
قِلَّةْ,"a few, a little"
قِلِّةْ إِحْتِرَامْ,disrespect
قِلِّةْ الحَيَاءْ,"immodesty, lack of respect"
قِلَّةْ المَعْرُوفْ,ungratefulness
قِلِّةْ إِنْتِبَاهْ,inattention
قَلِّدْ,"to mimick, mime, impersonate"
قَلِّصْ,to get really cold
ڨِلْطَةْ,puddle
ڨَلَّعْ بْلَاصْتُو,"to push oneself, insist on a position or power"
قَلْعَة,"fort, castle"
قَلْقَالْ,person who talks about others a lot
قَلِّلْ,"to reduce, shorten, lessen"
قَلِّمْ,to trim
ڨْلُوبَالْ,"global, overall"
قُلُوبْهُمْ صْفَاتْ,"they reconciled, there's no anger or bitterness anymore"
قْلِيلْ,a little bit
قْلِيلْ,poor
قْلِيلْ أَصْلْ,"not polite, poorly raised"
قْلِيلْ حْيَاءْ,immodest
قْمَارْ,gambling
ڨْمَارَةْ,"landmark, something that reminds of something else"
قَمَّارْجِي,gambler
قْمَاشْ,cloth
قُمْتْ بِالوَاجِبْ,"I did what I was supposed to, I fulfilled my responsiblilty"
ڨَمِّرْ,to aim
قَمِّرْ,to gamble
قَمْعْ,"suppression, repression"
قْمَعْ,funnel
قْمَلْ,lice
قَنَاةْ,channel (television or other)
قَنَّاصْ,sniper
قَنَاعَة,"conviction, contentedness"
قَنْبِلْ,"to bomb, explode"
أقْنَعْ,to convince
ڨَنْڨِنْ,"to hum, make a humming noise"
قْنَنًّو,"man that acts like a woman, is really fragile and weak"
ڨُهْدِي,bad person who doesn't want good for others
قَهْرْ,"repression, keeping people down, torture"
قْهَرْ,"to repress, torture, keep one down"
قَهْرَةْ,"repressive situation, feeling of being treated wrongly"
قَهْقَهْ,to laugh loudly
ڨَوَّاشِي,left-handed
قُوَّةْ,"Strength, power"
قُوَةْ إِلَاهِيَةْ,Divine force
قُوَّةْ الصُوتْ,sound level
قُوَّةْ خَارْقَةْ,supernatural power
قُوَّةْ عْظِيمَةْ,Great power
قَوِّدْ,to snitch or spy
قَوِّسْ,to bend
قُوشْ,left
قُوقَازِي,Caucasian
قَوْقَعْ,to go into one's shell
قَوْقَعْ,to cuddle/snuggle up due to cold
قَوْلَةْ,"saying, proverb, maxim"
ڨُومْ,"to stand up, get up, wake up"
قَوِّمْ,to help someone stand up
قَوْمِيَّة إشْتِرَاكِيَّة,National socialism
ڨُونَةْ,"brothel, licensed place of prostitution"
قَوَّى,"to strengthen, build up, raise (voice)"
قْوَى,"to be strengthened, get stronger"
قَوَّى فِي الصُوتْ,"to turn up the volume, raise one's voice"
قْوِيًّةْ,"Strong, powerful"
قِيَادَة,Leadership
قْيَاسْ,"Measure, standard"
قِيَامْ,"Getting up, waking up"
ڨِيتُونْ,tent (for camping)
قَيْدْ,to register
ڨِيدُونْ,Handlebars
قِيشَا,window/desk at an office
قَيِّلْ,to take a nap
قَيْلُولَةْ,Nap
قِيمَة,Value
ڨِينَسْ,Guiness World Records
كَابَابْلِي,"Brave, someone to depend on"
كَاپُو,"awesome guy, impressive, cool"
كَاتِبْ,Writer
كَاتِبْ,secretary
كَاتِيقُورِي,Category
كَاجْ,Cage
كَارَابِيلَا,carbine rifle
كَارَاكُوزْ,Clown
كَارْبُونَاتُو,Carbonate
كَارْطَة كَفْرِتْ,he got a bad hand in cards
كَارِكْ فِي القَهْوَةْ,to be in the café a long time without doing anything useful
كَارِي,renting
كَارِيزْمَة,Charisma
كَاسِحْ,"hard, stubborn, unswerving"
كَاسِحْ,"attacking, lethal"
كَاشِخْ,"agape, shocked with one's mouth open"
كَاشِيرْ,Kosher
كَافَحْ,"to struggle against, oppose, fight against"
كَالَاهَا بِشْ مَطِّيحِشْ,Prop it up or grab it so that it doesn't fall down
كَالِبْ,"crazy, possessed"
كَالَةْ,something that props something else up
كَالْكِيلاَ,to calculate
كاليتا,Quality
كَامِيرُونِي,someone from Cameroon
كَامِيكَازْ,Kamikaze
خلي غادي ، ما تبدل شي,Leave it there; don't change anything.
خلي إضو ، راني مازلت ساهر,Don't turn off the light; I'm still up.
هي نمشو نروحو وخلي وين باش ترصي ترصي,Let's go home and let what may come come.
رد بالك تكب الزيت على دبشك خاطرو يخلي تراس مايتنحش من الدبش,"Be careful not to pour out the oil on your clothes, because it leaves a spot that doesn’t come out of clothes."
زيد في الفيتاس شويا خلي نوصلو في الوقت,Accelerate a little so we can get there on time.
برا حل إشباك خلي لهوا يدخل,Go open the window and let some air in.
ألعب بلا حس خلي لعباد مقيلة,Play without making noise; let people take naps.
اعطني باتوني خلي نضف وذني,Give me a cotton swab and let me clean my ear.
خلي الخبز في الكوشة حتى لين يتحمر,Leave the bread in the oven until it's done.
عدل في الصوت متع الراديو خلي نسمع,Adjust the sound of the radio and let me hear it.
حل الماصو خلي نشوفو شنوا فيه,Open the envelope and let's see what's in it.
أدخل و خلي الباب محلول,Go in and leave the door open.
خلي المريول غاطس فالماء باش نغسلو مبعديك,Leave the shirt soaking in the water so we can wash it later.
كيف البيرو خلي يبرد فيسع,Turn on the air conditioner in the office and let it cool off quickly.
دور الكرهبة ع اليمين خلي الراجل يبركي,Turn your car to the right and let the guy park.
خلي في السهرية توا ناكلو القطو,Leave it for the party when we eat cake.
أعطينا سوم باهي خلي نشريو من عندك,Give us a good price and we'll buy from you.
شعل كشمعة خلي تضويلنا إلبيت,Light the candle so that it will light up the room.
طفي الضو خلي نرقدو,Turn off the light and let us sleep.
خلي العجينة تخمر,Let the dough rise.
غبر الشجر مليح خلي يجينا عام صابة,Fertilize the trees well; let this year be abundant.
خلي فتحة صغيرة في الصندوق,Leave a small opening in the box.
جيبلي زوز سواقر و خلي البقية عندك,Bring me two cigarettes and keep the rest for yourself.
